=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.11 11:40:30 =~=~=~=~=~=~=~=~=~=~=~=
12977,398786416,99845.84,27.72,0.385,0.772,0.453
12979,398846397,99851.93,27.72,0.400,0.257,0.931
12981,398906424,99853.28,27.72,0.347,0.143,0.318
12983,398966397,99850.91,27.72,0.329,0.343,-0.734
41488,1254237396,99832.48,27.45,1.781,1.900,0.016
41490,1254297394,99835.34,27.45,1.764,1.658,0.549
41492,1254357395,99831.91,27.45,1.771,1.949,-0.129
41494,1254417394,99833.52,27.45,1.783,1.812,0.030
41496,1254477394,99835.40,27.45,1.752,1.654,0.148
41498,1254537395,99833.56,27.45,1.780,1.809,-0.166
41500,1254597400,99833.22,27.45,1.768,1.838,0.097
41502,1254657395,99833.97,27.45,1.778,1.774,-0.026
41504,1254717395,99835.41,27.45,1.802,1.652,0.351
41506,1254777394,99833.05,27.45,1.786,1.852,0.136
41508,1254837396,99834.36,27.45,1.804,1.742,-0.105
41510,1254897394,99835.97,27.45,1.801,1.606,0.315
41512,1254957395,99836.13,27.45,1.770,1.592,-0.102
41514,1255017395,99835.67,27.45,1.738,1.631,-0.547
41516,1255077394,99833.45,27.45,1.736,1.819,-0.539
41518,1255137396,99832.42,27.45,1.759,1.906,-0.096
41520,1255197400,99830.81,27.45,1.816,2.041,0.445
41522,1255257395,99832.64,27.45,1.810,1.887,0.632
41524,1255317394,99836.02,27.45,1.783,1.602,0.111
41526,1255377394,99832.95,27.45,1.798,1.861,-0.199
41528,1255437396,99832.50,27.45,1.762,1.899,-0.253
41530,1255497395,99832.05,27.45,1.734,1.937,-0.597
41532,1255557395,99834.39,27.45,1.735,1.739,-0.243
41534,1255617395,99831.84,27.45,1.768,1.955,0.163
41536,1255677394,99833.34,27.45,1.779,1.828,0.375
41538,1255737396,99833.23,27.45,1.802,1.837,0.364
41540,1255797400,99838.20,27.45,1.780,1.417,0.398
41542,1255857395,99833.77,27.45,1.760,1.792,-0.310
41544,1255917395,99829.48,27.45,1.809,2.153,-0.420
41546,1255977394,99837.47,27.45,1.771,1.479,0.499
41548,1256037396,99836.99,27.45,1.757,1.519,-0.053
41550,1256097395,99837.62,27.45,1.722,1.466,-0.393
41552,1256157395,99833.73,27.45,1.712,1.794,-0.633
41554,1256217395,99834.64,27.45,1.766,1.718,0.017
41556,1256277394,99830.71,27.45,1.853,2.050,0.931
41558,1256337396,99836.79,27.45,1.782,1.537,0.715
41560,1256397400,99836.48,27.45,1.712,1.563,-0.799
41562,1256457395,99832.32,27.45,1.727,1.914,-0.999
41564,1256517395,99834.13,27.45,1.777,1.761,0.263
41566,1256577394,99838.38,27.45,1.720,1.403,0.559
41568,1256637396,99833.54,27.45,1.733,1.811,-0.530
41570,1256697394,99834.17,27.45,1.730,1.758,-0.162
41572,1256757395,99833.19,27.45,1.721,1.841,-0.092
41574,1256817394,99834.53,27.45,1.722,1.727,-0.076
41576,1256877395,99834.81,27.45,1.774,1.703,0.387
41578,1256937396,99834.19,27.45,1.756,1.756,0.454
41580,1256997400,99836.57,27.45,1.745,1.555,-0.115
41582,1257057395,99836.83,27.45,1.748,1.533,0.014
41584,1257117395,99835.09,27.45,1.741,1.681,-0.096
41586,1257177394,99831.41,27.45,1.772,1.991,-0.176
41588,1257237396,99832.38,27.45,1.814,1.909,0.434
41590,1257297394,99837.55,27.45,1.768,1.473,0.555
41592,1257357395,99837.05,27.45,1.768,1.514,-0.212
41594,1257417394,99836.77,27.45,1.718,1.539,-0.389
41596,1257477394,99830.66,27.45,1.779,2.055,-0.540
41598,1257537396,99835.44,27.45,1.761,1.650,0.448
41600,1257597400,99834.98,27.45,1.767,1.689,0.133
41602,1257657395,99834.09,27.45,1.793,1.764,0.128
41604,1257717395,99830.35,27.45,1.820,2.081,0.207
41606,1257777394,99835.62,27.45,1.779,1.635,0.169
41608,1257837396,99835.07,27.45,1.786,1.681,-0.136
41610,1257897394,99833.21,27.45,1.836,1.838,0.195
41612,1257957395,99832.59,27.45,1.820,1.891,0.335
41614,1258017394,99837.46,27.45,1.787,1.480,-0.081
41616,1258077394,99834.19,27.45,1.763,1.756,-0.437
41618,1258137396,99832.63,27.45,1.771,1.888,-0.517
41620,1258197400,99832.19,27.45,1.804,1.925,0.148
41622,1258257395,99833.01,27.45,1.793,1.856,0.330
41624,1258317395,99836.19,27.45,1.750,1.588,-0.128
41626,1258377394,99834.96,27.45,1.732,1.691,-0.481
41628,1258437395,99834.20,27.45,1.729,1.755,-0.365
41630,1258497394,99834.38,27.45,1.752,1.740,0.051
41632,1258557395,99833.44,27.45,1.753,1.819,0.213
41634,1258617394,99831.60,27.45,1.822,1.975,0.286
41636,1258677394,99832.07,27.45,1.868,1.935,0.957
41638,1258737396,99835.48,27.45,1.862,1.648,0.750
41640,1258797400,99832.07,27.45,1.817,1.935,-0.278
41642,1258857395,99832.01,27.45,1.823,1.940,-0.656
41644,1258917395,99833.70,27.45,1.800,1.797,-0.026
41646,1258977394,99836.29,27.46,1.742,1.579,-0.351
41648,1259037396,99837.61,27.46,1.707,1.467,-0.656
41650,1259097394,99832.86,27.46,1.697,1.868,-0.693
41652,1259157394,99831.97,27.46,1.663,1.943,-0.652
41654,1259217394,99837.20,27.46,1.633,1.501,-0.323
41656,1259277394,99836.25,27.46,1.625,1.582,-0.184
41658,1259337396,99835.20,27.46,1.628,1.671,-0.213
41660,1259397400,99834.19,27.46,1.667,1.756,0.139
41662,1259457395,99840.34,27.46,1.593,1.236,0.281
41664,1259517395,99837.58,27.46,1.591,1.470,-0.612
41666,1259577394,99836.01,27.47,1.604,1.603,-0.252
41668,1259637396,99834.56,27.47,1.641,1.724,0.195
41670,1259697394,99836.68,27.47,1.618,1.546,0.319
41672,1259757395,99835.31,27.47,1.622,1.661,-0.151
