=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 17:36:38 =~=~=~=~=~=~=~=~=~=~=~=
2566,82001396,49845.61,27.52,-1.042,0.316
2568,82061394,49843.74,27.51,-0.993,0.321
2570,82121395,49845.14,27.51,-0.966,0.654
2572,82181395,49845.27,27.51,-0.988,0.383
3090,97721395,49844.62,27.62,-1.091,-0.363
3092,97781395,49844.65,27.61,-1.074,-0.040
3094,97841395,49843.99,27.62,-1.077,0.105
3096,97901396,49845.40,27.62,-1.078,0.061
3098,97961395,49844.31,27.62,-1.004,0.455
3100,98021395,49847.13,27.62,-1.067,0.631
3102,98081395,49844.76,27.62,-1.053,-0.493
3104,98141394,49845.83,27.62,-1.090,-0.274
3106,98201396,49846.04,27.62,-1.125,-0.460
3108,98261394,49843.84,27.62,-1.088,-0.418
3110,98321394,49845.65,27.62,-1.102,0.247
3112,98381395,49845.96,27.63,-1.105,0.092
3114,98441395,49847.04,27.62,-1.177,-0.317
3116,98501396,49844.98,27.63,-1.146,-0.719
3118,98561395,49843.30,27.63,-1.074,0.290
3120,98621395,49846.30,27.63,-1.099,0.814
3122,98681395,49843.69,27.63,-1.053,0.113
3124,98741394,49844.36,27.63,-1.026,0.436
3126,98801396,49843.23,27.63,-0.983,0.543
3128,98861395,49844.73,27.63,-0.981,0.557
3130,98921403,49846.20,27.63,-1.035,0.067
3132,98981395,49844.29,27.63,-0.996,-0.408
3134,99041395,49844.23,27.63,-0.973,0.294
3136,99101396,49846.49,27.63,-0.983,0.470
3138,99161395,49845.38,27.63,-1.006,-0.096
3140,99221395,49845.48,27.63,-1.057,-0.673
3142,99281395,49845.52,27.63,-1.063,-0.605
3144,99341394,49845.89,27.63,-1.091,-0.239
3146,99401396,49846.82,27.63,-1.117,-0.327
3148,99461395,49845.99,27.63,-1.131,-0.385
3150,99521395,49846.90,27.63,-1.195,-0.548
3152,99581395,49844.78,27.63,-1.131,-0.482
3154,99641395,49845.41,27.63,-1.158,0.325
3156,99701396,49844.53,27.63,-1.109,0.031
