=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.15 20:10:54 =~=~=~=~=~=~=~=~=~=~=~=
95,11340824,100053.23,25.17,-0.547,-0.484,-0.019,-34.153,-47.513
97,11406242,100050.90,25.17,-0.526,-0.287,0.158,-35.046,-48.305
99,11471389,100057.39,25.16,-0.531,-0.834,0.428,-35.903,-49.074
101,11652370,100012.28,24.96,-0.048,2.970,0.500,-38.238,-51.125
1659,59847442,100056.52,25.47,-0.483,-0.760,-0.096,-94.315,-94.587
1661,59908390,100056.05,25.47,-0.521,-0.721,-0.714,-94.323,-94.589
1663,59968392,100052.73,25.48,-0.500,-0.441,-0.559,-94.333,-94.591
1665,60028558,100051.87,25.48,-0.492,-0.369,0.016,-94.334,-94.591
1667,60088920,100053.84,25.48,-0.497,-0.535,0.144,-94.328,-94.589
1669,60148638,100055.45,25.48,-0.546,-0.671,-0.142,-94.335,-94.590
1671,60209389,100052.67,25.48,-0.551,-0.436,-0.634,-94.345,-94.592
1673,60269392,100051.51,25.48,-0.520,-0.338,-0.130,-94.348,-94.592
1675,60329698,100051.93,25.49,-0.487,-0.373,0.486,-94.340,-94.591
1677,60389982,100051.30,25.49,-0.470,-0.321,0.478,-94.335,-94.590
1679,60451136,100054.10,25.49,-0.498,-0.557,0.177,-94.337,-94.590
1681,60520011,100052.73,25.47,-0.505,-0.442,-0.240,-94.342,-94.592
1683,60581389,100053.06,25.47,-0.503,-0.469,-0.138,-94.347,-94.594
1685,60641389,100053.61,25.48,-0.515,-0.515,-0.012,-94.347,-94.592
1687,60701389,100051.73,25.48,-0.533,-0.357,-0.307,-94.355,-94.594
1689,60762182,100055.26,25.48,-0.529,-0.654,-0.097,-94.351,-94.593
1691,60831345,100050.57,25.47,-0.466,-0.259,0.317,-94.355,-94.594
1693,60892389,100053.87,25.47,-0.426,-0.537,0.778,-94.335,-94.590
1695,60952388,100050.29,25.48,-0.380,-0.236,0.730,-94.328,-94.589
1697,61012389,100050.28,25.48,-0.357,-0.235,0.486,-94.315,-94.586
1699,61072391,100049.22,25.48,-0.337,-0.145,0.366,-94.311,-94.586
1701,61132484,100050.39,25.49,-0.343,-0.244,0.223,-94.302,-94.584
1703,61192511,100052.41,25.49,-0.355,-0.414,0.053,-94.290,-94.582
1705,61252427,100052.28,25.49,-0.380,-0.403,-0.188,-94.289,-94.582
1707,61312618,100054.38,25.49,-0.421,-0.580,-0.430,-94.288,-94.582
1709,61373392,100049.00,25.49,-0.371,-0.127,-0.356,-94.292,-94.582
1711,61435390,100053.07,25.49,-0.391,-0.470,0.325,-94.287,-94.583
1713,61495391,100055.05,25.49,-0.442,-0.636,-0.144,-94.288,-94.582
1715,61555392,100051.90,25.49,-0.483,-0.371,-0.886,-94.305,-94.586
1717,61624089,100055.05,25.48,-0.521,-0.637,-0.698,-94.304,-94.586
1719,61689987,100053.10,25.48,-0.519,-0.473,-0.347,-94.319,-94.589
1721,61754389,100056.13,25.47,-0.522,-0.728,0.021,-94.316,-94.587
1723,61814547,100056.67,25.47,-0.570,-0.774,-0.114,-94.327,-94.589
1725,61875388,100055.50,25.48,-0.570,-0.675,-0.564,-94.332,-94.590
1727,61935389,100053.95,25.48,-0.546,-0.544,-0.061,-94.335,-94.590
1729,61996389,100049.76,25.48,-0.466,-0.191,0.426,-94.332,-94.590
1731,62056390,100053.66,25.49,-0.486,-0.520,0.768,-94.325,-94.588
1733,62116389,100051.89,25.49,-0.453,-0.370,0.163,-94.319,-94.586
1735,62176392,100052.08,25.49,-0.448,-0.386,0.292,-94.320,-94.586
1737,62236392,100052.99,25.50,-0.468,-0.463,0.031,-94.321,-94.586
1739,62297389,100053.88,25.49,-0.469,-0.538,-0.123,-94.320,-94.586
1741,62357389,100050.94,25.50,-0.432,-0.290,0.065,-94.317,-94.585
1743,62417389,100051.06,25.50,-0.443,-0.300,0.197,-94.316,-94.585
1745,62477391,100054.65,25.50,-0.483,-0.603,-0.112,-94.319,-94.586
1747,62540953,100053.23,25.49,-0.475,-0.484,-0.293,-94.329,-94.589
1749,62607221,100047.26,25.48,-0.393,0.020,0.122,-94.323,-94.587
1751,62667573,100052.71,25.48,-0.430,-0.439,0.614,-94.313,-94.585
1753,62727943,100055.41,25.49,-0.485,-0.666,-0.208,-94.316,-94.583
1755,62794486,100055.55,25.49,-0.507,-0.679,-0.620,-94.327,-94.586
1757,62858389,100056.41,25.48,-0.532,-0.752,-0.356,-94.334,-94.588
1759,62918494,100053.48,25.48,-0.543,-0.504,-0.441,-94.345,-94.590
1761,62978764,100050.48,25.49,-0.472,-0.252,-0.051,-94.336,-94.589
1763,63039085,100055.34,25.49,-0.488,-0.661,0.782,-94.326,-94.588
1765,63103131,100053.28,25.48,-0.491,-0.488,0.023,-94.341,-94.592
1767,63169392,100052.13,25.48,-0.476,-0.391,-0.125,-94.339,-94.592
1769,63229693,100054.02,25.48,-0.470,-0.550,0.227,-94.329,-94.589
1771,63290077,100049.93,25.49,-0.436,-0.205,0.160,-94.331,-94.589
1773,63350942,100051.88,25.49,-0.416,-0.369,0.377,-94.319,-94.587
1775,63410392,100054.32,25.49,-0.431,-0.575,0.403,-94.312,-94.584
1777,63470392,100051.32,25.50,-0.416,-0.322,-0.093,-94.312,-94.579
1779,63532393,100050.59,25.49,-0.365,-0.261,0.246,-94.302,-94.576
1781,63601099,100050.81,25.48,-0.401,-0.279,0.336,-94.308,-94.579
1783,63664147,100050.76,25.48,-0.352,-0.275,-0.034,-94.300,-94.578
1785,63731389,100057.46,25.47,-0.402,-0.840,0.530,-94.284,-94.574
1787,63791880,100051.52,25.48,-0.404,-0.339,-0.435,-94.296,-94.578
1789,63852936,100051.68,25.48,-0.372,-0.353,-0.194,-94.285,-94.576
1791,63912388,100053.16,25.49,-0.375,-0.477,0.419,-94.277,-94.575
1793,63973180,100047.69,25.49,-0.304,-0.016,0.193,-94.273,-94.576
1795,64033389,100052.74,25.50,-0.331,-0.443,0.591,-94.257,-94.573
1797,64093389,100053.84,25.50,-0.360,-0.534,-0.062,-94.255,-94.572
1799,64153944,100053.46,25.50,-0.375,-0.503,-0.394,-94.257,-94.573
1801,64213392,100048.48,25.50,-0.368,-0.083,-0.441,-94.265,-94.574
1803,64273392,100056.51,25.50,-0.443,-0.760,-0.219,-94.257,-94.573
1805,64333730,100052.54,25.50,-0.432,-0.425,-0.535,-94.263,-94.574
1807,64393906,100052.52,25.51,-0.464,-0.423,-0.355,-94.271,-94.576
1809,64454941,100052.85,25.51,-0.461,-0.452,-0.312,-94.273,-94.576
1811,64517141,100053.50,25.50,-0.480,-0.506,-0.057,-94.282,-94.578
1813,64584248,100056.61,25.49,-0.490,-0.768,-0.061,-94.276,-94.578
1815,64644916,100054.02,25.49,-0.503,-0.550,-0.168,-94.288,-94.580
1817,64704941,100052.12,25.50,-0.488,-0.390,-0.306,-94.290,-94.580
1819,64766127,100053.84,25.50,-0.490,-0.534,0.135,-94.292,-94.582
1821,64835313,100049.76,25.49,-0.452,-0.191,0.087,-94.301,-94.584
1823,64895649,100053.12,25.49,-0.494,-0.475,0.115,-94.302,-94.584
1825,64955966,100053.47,25.49,-0.470,-0.503,-0.093,-94.295,-94.583
1827,65015391,100055.27,25.50,-0.461,-0.655,0.383,-94.286,-94.581
1829,65077181,100053.04,25.50,-0.435,-0.467,0.256,-94.289,-94.582
1831,65146472,100056.96,25.48,-0.490,-0.798,0.065,-94.296,-94.584
1833,65206763,100049.30,25.49,-0.458,-0.152,-0.533,-94.308,-94.586
1835,65269133,100052.88,25.49,-0.456,-0.454,0.091,-94.302,-94.588
1837,65336906,100051.98,25.48,-0.466,-0.378,0.142,-94.312,-94.591
1839,65402984,100048.06,25.48,-0.372,-0.047,0.168,-94.309,-94.584
1841,65470138,100053.28,25.47,-0.379,-0.488,0.940,-94.298,-94.578
1843,65537699,100054.73,25.47,-0.407,-0.610,0.186,-94.299,-94.583
