=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 14:34:16 =~=~=~=~=~=~=~=~=~=~=~=
imu_seq,baro_seq,timestamp_us,roll_deg,pitch_deg,yaw_deg,heading_deg,altitude_m,raw_altitude_m,climb_rate_mps,pressure_pa,temperature_c,comp_altitude_m,comp_climb_rate_mps,comp_accel_up_mss,accel_x_mss,accel_y_mss,accel_z_mss,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,linacc_x_mss,linacc_y_mss,linacc_z_mss,grav_x_mss,grav_y_mss,grav_z_mss,imu_valid,baro_valid
[IMU] BNO055 axis_map=0x24 sign_x=0 sign_y=0 sign_z=0
[SETUP] Baro PROM: C1=39189 C2=35799 C3=24633 C4=24872 C5=35093 C6=27857
[SETUP] Airspeed init failed -- check wiring/I2C address
[SETUP] SD card init failed -- check the card is inserted
5,1,10719753,3.562,-5.750,22.562,22.562,-0.087,-0.482,0.000,99984.88,35.52,-0.019,-0.778,-19.5737,-0.1000,0.2500,9.8300,0.0625,0.0000,-0.1250,-1.3750,-15.1875,-90.5625,0.0100,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
17,5,10839680,3.562,-5.750,22.562,22.562,-0.020,-0.996,0.000,99990.97,35.70,-0.216,-3.115,-19.5735,-0.0900,0.2300,9.8300,0.0000,0.0000,0.0000,-1.0000,-14.3750,-91.0625,0.0000,-0.0100,0.0300,-0.0700,0.2600,9.8000,1,1
29,9,10959686,3.562,-5.750,22.562,22.562,-0.165,0.456,-3.324,99973.76,35.82,-0.777,-5.470,-19.5561,-0.0900,0.2700,9.8100,0.0625,0.0000,0.0000,-1.0000,-14.7500,-90.5625,-0.0100,0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3322,1100,44120049,3.562,-5.750,22.562,22.562,0.401,0.555,2.784,99972.59,36.21,-96.426,-97.574,-19.5771,-0.0600,0.2400,9.8300,-0.1250,-0.0625,0.1250,-4.6875,-17.7500,-91.0625,0.0000,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
3334,1104,44240595,3.562,-5.750,22.562,22.562,0.600,1.131,1.218,99965.76,36.23,-96.387,-97.568,-19.5585,-0.0600,0.2600,9.8100,0.0625,0.0625,-0.0625,-4.0000,-18.1875,-89.7500,0.0000,-0.0200,0.0200,-0.0700,0.2600,9.8000,1,1
3346,1108,44360050,3.562,-5.750,22.562,22.562,0.750,1.170,0.676,99965.30,36.22,-96.334,-97.559,-19.5735,-0.0900,0.2300,9.8300,0.0000,0.0000,0.0625,-3.1875,-18.1875,-91.3750,0.0000,0.0200,0.0300,-0.0700,0.2600,9.8000,1,1
3358,1112,44480695,3.562,-5.750,22.562,22.562,0.376,0.075,-2.751,99978.27,36.23,-96.370,-97.569,-19.5561,-0.0900,0.2700,9.8100,-0.1250,-0.0625,0.0000,-4.6875,-18.5625,-91.0625,0.0000,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
3370,1116,44601009,3.562,-5.750,22.562,22.562,0.321,-1.353,2.022,99995.20,36.23,-96.329,-97.563,-19.5585,-0.0600,0.2600,9.8100,0.0625,-0.1250,0.0000,-4.2500,-18.1875,-90.1875,0.0000,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3382,1120,44721335,3.562,-5.750,22.562,22.562,0.294,0.506,-1.416,99973.16,36.22,-96.403,-97.580,-19.5980,-0.0500,0.2400,9.8500,0.0000,0.0000,0.0000,-4.0000,-17.3750,-91.8750,0.0000,0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3391,1123,44821333,3.562,-5.750,22.562,22.562,0.335,-0.850,1.398,99989.23,36.20,-96.350,-97.571,-19.5824,-0.1000,0.2300,9.8400,0.0000,0.0000,0.1250,-3.5625,-18.5625,-90.5625,-0.0100,-0.0100,0.0300,-0.0700,0.2600,9.8000,1,1
3403,1127,44941449,3.562,-5.750,22.562,22.562,0.483,0.404,-0.248,99974.37,36.20,-96.363,-97.576,-19.5473,-0.0600,0.2400,9.8000,0.0000,-0.1250,0.0625,-4.0000,-18.5625,-90.1875,-0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3415,1131,45061009,3.562,-5.750,22.562,22.562,0.435,-0.422,1.336,99984.16,36.23,-96.336,-97.573,-19.5559,-0.0800,0.2500,9.8100,0.1250,0.1250,-0.1250,-4.2500,-17.7500,-90.5625,0.0000,-0.0200,0.0300,-0.0700,0.2600,9.8000,1,1
3427,1135,45181585,3.562,-5.750,22.562,22.562,0.310,-0.260,-1.179,99982.24,36.21,-96.371,-97.581,-19.5563,-0.0700,0.2400,9.8100,0.0000,0.0625,0.1250,-3.5625,-17.3750,-91.0625,0.0000,-0.0200,0.0100,-0.0700,0.2600,9.8000,1,1
3439,1139,45301748,3.562,-5.750,22.562,22.562,0.509,1.163,0.516,99965.38,36.23,-96.378,-97.585,-19.5905,-0.0500,0.2800,9.8400,0.0625,0.1250,0.0000,-4.6875,-18.5625,-90.1875,-0.0100,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
3451,1143,45421713,3.562,-5.750,22.562,22.562,0.545,0.372,0.998,99974.76,36.22,-96.337,-97.579,-19.5794,-0.0500,0.2600,9.8300,-0.0625,0.0625,0.0000,-4.0000,-18.8750,-91.3750,0.0000,0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3463,1147,45541678,3.562,-5.750,22.562,22.562,0.520,1.198,-1.099,99964.96,36.22,-96.364,-97.585,-19.5575,-0.0700,0.2600,9.8100,0.1250,0.2500,0.0000,-4.0000,-17.0625,-90.1875,0.0000,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3475,1151,45662051,3.562,-5.750,22.562,22.562,0.150,-0.489,-2.640,99984.96,36.22,-96.406,-97.596,-19.5751,-0.0800,0.2400,9.8300,-0.0625,-0.0625,0.0000,-4.0000,-17.0625,-90.5625,-0.0200,-0.0100,0.0400,-0.0700,0.2600,9.8000,1,1
3484,1154,45760782,3.562,-5.750,22.562,22.562,0.041,-1.063,-0.570,99991.77,36.21,-96.435,-97.603,-19.5678,-0.0600,0.2500,9.8200,0.1250,-0.1250,0.0625,-2.5000,-18.1875,-90.5625,0.0000,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3496,1158,45881931,3.562,-5.750,22.562,22.562,-0.005,-0.383,-0.752,99983.70,36.21,-96.502,-97.617,-19.5476,-0.0700,0.2600,9.8000,-0.0625,0.1250,0.0625,-3.5625,-17.0625,-89.7500,0.0000,-0.0200,0.0200,-0.0700,0.2600,9.8000,1,1
3508,1162,46002640,3.562,-5.750,22.562,22.562,-0.132,-0.731,-0.795,99987.83,36.22,-96.565,-97.630,-19.5543,-0.0900,0.2400,9.8100,0.0000,-0.1875,0.0625,-3.5625,-17.3750,-90.5625,0.0000,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3520,1166,46122067,3.562,-5.750,22.562,22.562,0.030,-0.391,1.520,99983.79,36.23,-96.574,-97.632,-19.5767,-0.0700,0.2500,9.8300,0.0000,-0.0625,0.0625,-3.5625,-18.8750,-90.1875,-0.0100,-0.0200,0.0200,-0.0700,0.2600,9.8000,1,1
3532,1170,46242585,3.562,-5.750,22.562,22.562,-0.072,-0.692,-1.222,99987.37,36.23,-96.622,-97.642,-19.5774,-0.0700,0.2600,9.8300,0.0000,0.1250,0.0000,-3.5625,-18.1875,-90.5625,0.0100,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3544,1174,46362061,3.562,-5.750,22.562,22.562,0.146,0.532,1.549,99972.85,36.23,-96.631,-97.645,-19.5566,-0.0600,0.2300,9.8100,0.0000,0.0000,0.0000,-4.2500,-18.5625,-90.5625,0.0000,-0.0100,0.0400,-0.0700,0.2600,9.8000,1,1
3556,1178,46482703,3.562,-5.750,22.562,22.562,0.167,-0.038,0.113,99979.61,36.23,-96.620,-97.642,-19.5459,-0.0800,0.2500,9.8000,-0.0625,0.0625,0.0000,-3.5625,-17.7500,-90.1875,0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3568,1182,46602872,3.562,-5.750,22.562,22.562,-0.003,-0.377,-1.525,99983.63,36.23,-96.669,-97.652,-19.5662,-0.0700,0.2400,9.8200,0.0000,0.1875,0.0000,-4.2500,-18.1875,-91.0625,0.0000,-0.0100,0.0500,-0.0700,0.2600,9.8000,1,1
3580,1186,46723200,3.562,-5.750,22.562,22.562,0.064,0.099,-0.006,99977.98,36.23,-96.687,-97.656,-19.5668,-0.0700,0.2500,9.8200,-0.0625,0.1250,-0.0625,-3.1875,-18.8750,-91.3750,-0.0100,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3589,1189,46823319,3.562,-5.750,22.562,22.562,0.202,1.317,0.424,99963.55,36.21,-96.704,-97.659,-19.5664,-0.0800,0.2600,9.8200,0.0625,0.0000,-0.0625,-3.1875,-17.7500,-90.1875,0.0000,0.0000,0.0000,-0.0700,0.2600,9.8000,1,1
3601,1193,46943348,3.562,-5.750,22.562,22.562,0.394,0.984,1.119,99967.49,36.21,-96.647,-97.647,-19.5684,-0.0600,0.2600,9.8200,0.0625,0.0625,0.0000,-4.6875,-18.8750,-91.3750,0.0000,0.0000,0.0400,-0.0700,0.2600,9.8000,1,1
3613,1197,47063050,3.562,-5.750,22.562,22.562,0.419,1.141,-0.390,99965.64,36.23,-96.633,-97.645,-19.5877,-0.0600,0.2500,9.8400,0.0625,0.0625,0.0000,-2.8750,-18.5625,-91.0625,0.0000,0.0200,0.0300,-0.0700,0.2600,9.8000,1,1
3625,1201,47183466,3.562,-5.750,22.562,22.562,0.397,1.118,0.467,99965.91,36.23,-96.618,-97.642,-19.5648,-0.0900,0.2500,9.8200,0.0000,0.0625,0.0625,-5.0625,-17.3750,-90.1875,0.0000,-0.0200,0.0100,-0.0700,0.2600,9.8000,1,1
3637,1205,47303754,3.562,-5.750,22.562,22.562,-0.095,-1.295,-2.436,99994.51,36.22,-96.656,-97.649,-19.5658,-0.0800,0.2500,9.8200,0.0000,0.0625,0.0625,-3.5625,-18.5625,-90.5625,0.0000,-0.0200,0.0500,-0.0700,0.2600,9.8000,1,1
3649,1209,47423590,3.562,-5.750,22.562,22.562,-0.018,0.317,-0.858,99975.40,36.25,-96.719,-97.662,-19.5654,-0.0900,0.2600,9.8200,-0.0625,-0.1250,0.0000,-4.0000,-18.8750,-91.0625,0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3661,1213,47543701,3.562,-5.750,22.562,22.562,-0.016,-0.729,1.479,99987.80,36.22,-96.699,-97.658,-19.5678,-0.0600,0.2500,9.8200,0.0625,0.0000,-0.0625,-3.5625,-17.7500,-89.7500,0.0000,-0.0200,0.0400,-0.0700,0.2600,9.8000,1,1
3673,1217,47663049,3.562,-5.750,22.562,22.562,-0.270,-1.610,-0.923,99998.24,36.23,-96.751,-97.668,-19.5690,-0.0600,0.2700,9.8200,0.0625,0.0625,0.1875,-4.6875,-18.8750,-90.1875,0.0100,0.0000,0.0300,-0.0700,0.2600,9.8000,1,1
3682,1220,47762875,3.562,-5.750,22.562,22.562,-0.499,-0.981,-3.345,99990.78,36.21,-96.874,-97.692,-19.5658,-0.0800,0.2500,9.8200,-0.0625,0.0000,0.0625,-3.1875,-18.5625,-89.7500,0.0000,-0.0200,0.0400,-0.0700,0.2600,9.8000,1,1
3694,1224,47884321,3.562,-5.750,22.562,22.562,-0.460,-0.169,-0.592,99981.16,36.22,-96.950,-97.706,-19.5777,-0.0600,0.2500,9.8300,0.0625,0.0625,0.0000,-4.2500,-17.3750,-90.5625,0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3706,1228,48004537,3.562,-5.750,22.562,22.562,-0.301,-0.424,2.389,99984.18,36.22,-96.941,-97.703,-19.5747,-0.0900,0.2500,9.8300,0.0000,-0.0625,-0.0625,-4.2500,-17.3750,-91.0625,0.0000,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
3718,1232,48123994,3.562,-5.750,22.562,22.562,-0.162,-0.452,1.755,99984.51,36.22,-96.928,-97.700,-19.5767,-0.0700,0.2500,9.8300,-0.0625,0.0000,0.1250,-4.0000,-18.1875,-90.5625,0.0000,-0.0100,0.0000,-0.0700,0.2600,9.8000,1,1
3730,1236,48244467,3.562,-5.750,22.562,22.562,0.101,1.442,0.965,99962.08,36.23,-96.935,-97.699,-19.5585,-0.0600,0.2600,9.8100,0.0000,0.0000,-0.0625,-4.2500,-18.5625,-89.7500,-0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3742,1240,48364029,3.562,-5.750,22.562,22.562,0.177,1.132,0.537,99965.74,36.24,-96.900,-97.692,-19.5887,-0.0500,0.2500,9.8400,0.0625,-0.0625,-0.1250,-4.0000,-18.1875,-90.5625,-0.0100,0.0000,0.0500,-0.0700,0.2600,9.8000,1,1
3754,1244,48484631,3.562,-5.750,22.562,22.562,0.288,0.550,0.918,99972.65,36.24,-96.837,-97.679,-19.5565,-0.0800,0.2600,9.8100,-0.0625,0.0000,-0.0625,-3.5625,-18.5625,-89.7500,0.0000,0.0000,0.0200,-0.0700,0.2600,9.8000,1,1
3766,1248,48604882,3.562,-5.750,22.562,22.562,0.584,0.396,2.819,99974.47,36.23,-96.723,-97.655,-19.5648,-0.0900,0.2500,9.8200,0.0625,-0.1250,0.0000,-4.0000,-17.3750,-90.5625,-0.0100,0.0000,0.0100,-0.0700,0.2600,9.8000,1,1
3778,1252,48725219,3.562,-5.750,22.562,22.562,0.277,0.013,-1.849,99979.01,36.23,-96.742,-97.658,-19.5877,-0.0600,0.2500,9.8400,0.0625,-0.0625,0.0625,-4.6875,-18.8750,-89.7500,0.0000,-0.0100,0.0200,-0.0700,0.2600,9.8000,1,1
3787,1255,48825223,3.688,-5.812,22.596,22.688,0.273,-0.167,-1.443,99981.13,36.22,-96.726,-97.655,-19.5008,-0.2000,-0.3900,9.8100,-0.4375,0.0625,-0.5000,-4.0000,-18.8750,-90.5625,0.2900,-0.8800,0.0500,-0.0500,0.2700,9.8000,1,1
3799,1259,48945316,3.688,-5.812,22.657,22.625,0.237,0.158,-0.221,99977.29,36.22,-96.725,-97.653,-19.5432,-0.1600,0.2100,9.8100,0.3125,-0.1875,0.0000,-2.8750,-17.7500,-90.1875,0.0400,0.0400,0.0300,-0.0500,0.2700,9.8000,1,1
3811,1263,49065135,3.812,-5.812,21.267,17.812,-0.254,-1.545,-2.820,99997.48,36.24,-96.791,-97.665,-19.7898,1.0100,0.3600,9.9300,0.1875,-2.1250,105.1875,-3.5625,-17.7500,-91.0625,0.5900,0.5000,-0.0200,-0.0300,0.2700,9.8000,1,1
3823,1267,49185472,4.375,-5.688,10.437,359.688,-0.026,-0.148,1.377,99980.91,36.23,-96.801,-97.655,-19.2979,-1.0400,0.1300,9.6600,2.1250,-5.9375,136.5000,-12.0625,-20.7500,-89.0000,1.2800,0.7100,0.2500,0.0600,0.2500,9.8000,1,1
3835,1271,49305774,4.625,-5.562,-1.854,350.812,0.172,0.414,1.665,99974.26,36.24,-96.774,-97.656,-19.6764,0.6300,0.0900,9.8800,0.2500,-1.0000,48.5625,-19.8750,-21.8750,-90.1875,0.0200,0.1200,0.0200,0.1100,0.2300,9.8000,1,1
3847,1275,49425585,4.688,-5.500,-9.153,346.250,0.017,-0.323,-1.009,99982.98,36.23,-96.787,-97.659,-19.7328,0.8600,0.6400,9.8700,-0.0625,-0.8125,54.9375,-25.0625,-20.3750,-91.0625,0.0000,0.0700,-0.0600,0.1200,0.2100,9.8000,1,1
3859,1279,49545733,4.812,-5.500,-13.599,344.500,-0.007,0.020,-0.087,99978.92,36.24,-96.806,-97.665,-19.5731,-0.0400,0.2400,9.8300,0.3125,-0.6875,0.2500,-26.5625,-20.0625,-90.5625,-0.1400,0.0200,0.0100,0.1400,0.2200,9.8000,1,1
3871,1283,49665293,4.625,-5.500,-14.477,346.438,0.044,0.615,-0.414,99971.87,36.23,-96.822,-97.672,-19.6839,0.0900,0.3300,9.9200,0.8750,-1.8750,-44.2500,-28.3750,-19.2500,-89.7500,0.1000,0.2700,0.0200,0.1100,0.2200,9.8000,1,1
3880,1286,49763947,4.625,-5.625,-12.611,349.562,0.277,0.923,2.733,99968.23,36.21,-96.777,-97.659,-19.6076,-0.3800,0.1000,9.9100,0.8125,-1.3750,-31.0625,-25.5000,-20.0625,-89.7500,-0.4900,-0.1300,0.1100,0.1100,0.2300,9.8000,1,1
3892,1290,49886338,4.438,-5.688,-8.249,355.250,0.308,1.048,-0.635,99966.74,36.20,-96.758,-97.652,-19.6235,0.1400,0.4000,9.8500,-0.5000,0.7500,-35.7500,-22.8750,-21.5000,-89.7500,-0.3900,-0.0900,0.0600,0.0800,0.2400,9.8000,1,1
3904,1294,50006527,4.188,-5.812,-2.526,4.812,0.565,0.041,3.225,99978.68,36.23,-96.631,-97.630,-19.8165,0.5800,1.2200,9.9400,0.1875,2.9375,-176.7500,-19.8750,-21.5000,-89.3750,-0.2200,0.8800,-0.1500,0.0300,0.2600,9.8000,1,1
3916,1298,50126438,3.625,-5.875,13.601,27.500,0.403,1.270,-2.591,99964.10,36.22,-96.677,-97.630,-19.8006,0.1400,0.6700,10.0100,1.3125,-0.8125,-185.1250,-5.3750,-18.5625,-89.7500,-0.5800,-0.1200,-0.0400,-0.0700,0.2700,9.8000,1,1
3928,1302,50246566,2.750,-5.625,35.774,54.438,0.325,0.236,0.162,99976.37,36.24,-96.641,-97.622,-19.5928,1.3800,-0.6500,9.7400,2.4375,1.8125,-251.8750,4.8750,-12.5625,-89.7500,0.1400,0.0500,-0.4000,-0.2200,0.2300,9.8000,1,1
3940,1306,50366180,2.250,-5.250,60.492,77.875,0.255,-0.620,0.296,99986.51,36.22,-96.615,-97.617,-19.3619,-1.7900,0.7000,9.7400,1.4375,0.1250,-167.7500,12.6875,-1.8750,-90.1875,-0.8200,-0.3900,0.0700,-0.3000,0.1700,9.8000,1,1
3952,1310,50486709,2.000,-4.812,80.483,95.000,0.464,1.119,0.028,99965.90,36.23,-96.610,-97.616,-19.5749,-0.9100,-0.1300,9.8900,1.3125,0.1250,-165.5000,16.0625,14.7500,-89.7500,-0.2500,-0.3900,0.0000,-0.3400,0.1000,9.8000,1,1
3964,1314,50606891,2.125,-4.562,97.475,109.938,0.248,0.273,-1.159,99975.92,36.22,-96.619,-97.631,-19.8338,1.3600,-1.1500,10.0000,4.3750,-4.6250,-227.0000,16.7500,23.3750,-89.0000,-0.1300,-0.2500,-0.0700,-0.3200,0.0500,9.8000,1,1
3976,1318,50727197,2.188,-4.188,115.222,127.812,0.416,0.388,1.706,99974.55,36.24,-96.571,-97.623,-19.5726,-0.1000,-0.0900,9.8100,0.9375,0.0625,-140.1250,10.0625,35.1875,-89.0000,0.5900,0.0400,0.1300,-0.3100,-0.0100,9.8000,1,1
3985,1321,50827326,2.188,-3.875,127.561,138.250,0.220,0.148,-1.695,99977.41,36.20,-96.615,-97.636,-19.5563,-1.3300,-0.2800,9.8800,-0.1875,1.0000,-46.5000,5.6875,40.6875,-88.5625,-0.6900,-0.4100,0.0500,-0.3100,-0.0600,9.8000,1,1
3997,1325,50947345,2.188,-3.688,138.396,145.188,0.306,1.497,-0.922,99961.41,36.22,-96.645,-97.646,-19.5499,-0.1800,0.3200,9.7700,-0.3750,1.1875,-60.4375,2.6875,42.5625,-87.3750,0.4400,0.5800,0.0400,-0.3100,-0.1000,9.8000,1,1
4009,1329,51067065,2.250,-3.625,144.656,148.062,0.409,1.423,1.275,99962.30,36.22,-96.611,-97.644,-19.5841,-0.8200,-0.3400,9.8700,-0.1250,-0.3125,-27.0000,-0.1875,44.8750,-89.3750,0.2400,0.5600,0.0400,-0.3000,-0.1000,9.8000,1,1
4021,1333,51187448,2.312,-3.562,148.209,150.188,0.428,1.114,0.604,99965.95,36.22,-96.582,-97.643,-19.6036,-0.2200,0.1900,9.8300,-0.3750,0.3125,-6.1250,-2.5000,45.5625,-89.0000,0.0800,0.1300,0.0100,-0.2900,-0.1100,9.8000,1,1
4033,1337,51307771,2.438,-4.000,149.248,148.625,0.365,-0.395,0.515,99983.84,36.24,-96.531,-97.638,-19.6054,-0.0600,0.3700,9.8200,-0.3125,-1.6875,44.0625,-1.3750,45.5625,-89.0000,0.0700,0.3700,0.0200,-0.2700,-0.0500,9.8000,1,1
4045,1341,51427186,2.438,-4.312,146.863,145.188,0.350,0.304,-1.053,99975.56,36.23,-96.553,-97.646,-19.6052,-0.1500,0.3900,9.8300,0.0000,0.0625,9.5000,-0.1875,44.5000,-88.1875,0.3200,-0.0800,0.0300,-0.2600,0.0100,9.8000,1,1
