=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 01:02:26 =~=~=~=~=~=~=~=~=~=~=~=
191,63,11373703,1.000,1.125,179.625,179.625,0.351,1.286,0.892,99668.21,32.93,-18.887,-33.454,-19.0983,1,1
203,67,11493358,1.000,1.125,179.625,179.625,0.093,-0.004,-0.724,99683.45,32.93,-20.610,-35.261,-19.1083,1,1
215,71,11614361,1.000,1.125,179.625,179.625,0.036,0.570,-2.098,99676.67,32.96,-22.394,-37.052,-19.0877,1,1
227,75,11734722,1.000,1.125,179.625,179.625,-0.056,1.738,-3.264,99662.88,32.94,-24.216,-38.799,-19.0876,1,1
5049,1679,60028759,1.000,1.125,179.625,179.625,0.976,2.146,-2.869,99658.05,33.30,-93.580,-95.381,-19.1477,1,1
5060,1683,60139889,1.000,1.125,179.625,179.625,0.845,0.875,0.047,99673.06,33.30,-93.591,-95.383,-19.1275,1,1
5072,1687,60260912,1.000,1.125,179.625,179.625,1.044,1.339,2.384,99667.59,33.30,-93.572,-95.380,-19.0978,1,1
5084,1691,60380180,1.000,1.125,179.625,179.625,1.274,2.184,1.983,99657.61,33.32,-93.532,-95.373,-19.1079,1,1
5096,1695,60501356,1.000,1.125,179.625,179.625,1.179,1.683,-1.087,99663.52,33.30,-93.525,-95.374,-19.1394,1,1
5108,1699,60621732,1.000,1.125,179.625,179.625,1.012,0.101,0.154,99682.22,33.30,-93.503,-95.362,-19.1081,1,1
5118,1702,60721715,1.000,1.125,179.625,179.625,1.237,1.158,0.100,99669.72,33.27,-93.470,-95.353,-18.9749,1,1
5130,1706,60840735,1.000,1.125,179.625,179.625,1.030,-0.204,-1.320,99685.82,33.30,-93.472,-95.354,-19.1478,1,1
5142,1710,60961878,1.000,1.125,179.625,179.625,0.771,-0.284,-1.904,99686.77,33.30,-93.541,-95.369,-19.1177,1,1
5154,1714,61080960,1.000,1.125,179.625,179.625,0.894,0.656,0.224,99675.66,33.29,-93.569,-95.376,-19.1481,1,1
5166,1718,61202373,1.000,1.125,179.625,179.625,1.010,2.234,-0.970,99657.01,33.30,-93.611,-95.384,-19.1177,1,1
5178,1722,61322729,1.000,1.125,179.625,179.625,0.877,0.411,-0.072,99678.55,33.30,-93.597,-95.381,-19.1381,1,1
5188,1725,61422722,1.000,1.125,179.625,179.625,0.759,0.624,-1.313,99676.03,33.30,-93.649,-95.392,-19.1378,1,1
5199,1729,61530769,1.000,1.125,179.625,179.625,1.113,0.452,3.713,99678.07,33.31,-93.561,-95.376,-19.1281,1,1
5211,1733,61652893,1.000,1.125,179.625,179.625,1.044,0.580,-0.233,99676.55,33.32,-93.571,-95.377,-19.1276,1,1
5221,1736,61753082,1.000,1.125,179.625,179.625,1.033,1.544,-0.145,99665.16,33.31,-93.591,-95.382,-19.1079,1,1
5232,1740,61863360,1.000,1.125,179.625,179.625,0.688,0.147,-2.072,99681.66,33.32,-93.652,-95.394,-19.1278,1,1
5244,1744,61981954,1.000,1.125,179.625,179.625,0.786,1.271,-0.017,99668.39,33.31,-93.691,-95.403,-19.1368,1,1
5256,1748,62103512,1.000,1.125,179.625,179.625,1.041,1.385,1.368,99667.05,33.31,-93.649,-95.395,-19.0880,1,1
5268,1752,62223890,1.000,1.125,179.625,179.625,1.525,2.497,3.748,99653.91,33.31,-93.543,-95.374,-19.1082,1,1
5280,1756,62343814,1.000,1.125,179.625,179.625,1.256,0.148,0.248,99681.66,33.31,-93.483,-95.363,-19.1085,1,1
5292,1760,62464177,1.000,1.125,179.625,179.625,1.224,1.607,-1.990,99664.42,33.31,-93.522,-95.372,-19.1176,1,1
5304,1764,62582972,1.000,1.125,179.625,179.625,1.388,1.559,2.292,99664.99,33.31,-93.454,-95.361,-19.1579,1,1
5314,1767,62682775,1.000,1.125,179.625,179.625,1.023,0.200,-1.409,99681.05,33.32,-93.489,-95.371,-19.2177,1,1
