=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 13:29:25 =~=~=~=~=~=~=~=~=~=~=~=
imu_seq,baro_seq,timestamp_us,roll_deg,pitch_deg,yaw_deg,heading_deg,altitude_m,raw_altitude_m,climb_rate_mps,pressure_pa,temperature_c,comp_altitude_m,comp_climb_rate_mps,comp_accel_up_mss,accel_x_mss,accel_y_mss,accel_z_mss,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,linacc_x_mss,linacc_y_mss,linacc_z_mss,grav_x_mss,grav_y_mss,grav_z_mss,imu_valid,baro_valid
[IMU] BNO055 axis_map=0x24 sign_x=0 sign_y=0 sign_z=0
[SETUP] Baro PROM: C1=39189 C2=35799 C3=24633 C4=24872 C5=35093 C6=27857
[SETUP] Airspeed init failed -- check wiring/I2C address
[SETUP] SD card init failed -- check the card is inserted
4,1,10690925,9.000,-0.062,57.750,57.750,-0.150,-0.833,0.000,100069.23,35.70,-0.005,-0.378,-19.3581,0.7800,-0.7600,9.7900,0.1250,-0.0625,0.0000,22.0000,7.6875,27.5625,-0.0500,-0.0200,0.0700,0.8500,-0.7100,9.7400,1,1
18,5,10810519,9.000,-0.062,57.750,57.750,-0.318,-0.171,0.000,100061.38,35.89,-0.274,-2.707,-19.3680,0.8200,-0.7600,9.8000,-0.1250,-0.0625,0.0000,23.0625,8.0000,27.1875,-0.0400,-0.0400,0.0100,0.8500,-0.7100,9.7400,1,1
33,9,10932295,9.125,-0.125,57.744,57.688,-0.391,-0.456,-0.972,100064.76,35.99,-0.749,-5.055,-21.3061,0.6100,-0.0900,11.6600,1.0000,-2.9375,-0.1875,21.5625,8.0000,26.0000,-0.2600,0.6100,1.9200,0.8700,-0.7100,9.7400,1,1
670,185,16223956,9.000,0.000,57.688,57.688,-0.249,-0.423,1.367,100064.38,36.28,-63.997,-72.445,-19.3520,0.7800,-0.7300,9.7800,0.0000,0.1250,0.0000,22.2500,7.6875,26.3750,-0.0400,-0.0100,0.0500,0.8600,-0.7200,9.7400,1,1
682,188,16324055,9.000,0.000,57.688,57.688,-0.722,-2.391,-1.128,100087.71,36.31,-64.889,-73.100,-19.3505,0.8300,-0.7400,9.7800,-0.0625,-0.1875,0.1250,22.0000,8.7500,25.5625,-0.0800,-0.0100,0.0600,0.8600,-0.7200,9.7400,1,1
696,192,16435291,9.000,0.000,57.688,57.688,-0.759,0.827,-3.424,100049.54,36.28,-65.920,-73.821,-19.3572,0.7700,-0.7600,9.7900,0.0625,-0.0625,0.0625,22.6875,7.2500,26.3750,-0.0800,-0.0300,0.0500,0.8600,-0.7200,9.7400,1,1
710,196,16554128,9.000,0.000,57.688,57.688,-0.777,-0.752,0.610,100068.27,36.29,-66.842,-74.538,-19.3619,0.8000,-0.7300,9.7900,0.0000,-0.0625,0.0625,23.0625,8.0000,27.5625,-0.0400,0.0000,0.0300,0.8600,-0.7200,9.7400,1,1
724,200,16674304,9.062,0.000,57.688,57.688,-0.679,-0.945,1.366,100070.55,36.29,-67.752,-75.244,-19.3464,0.8100,-0.7500,9.7800,-0.0625,-0.6875,0.0625,22.6875,8.0000,27.1875,-0.0200,0.0000,0.0600,0.8600,-0.7200,9.7400,1,1
739,204,16794489,9.000,0.000,57.688,57.688,-0.830,-1.080,-1.635,100072.16,36.28,-68.701,-75.940,-19.3635,0.8200,-0.7200,9.7900,-0.3125,0.6250,0.0000,23.5000,7.2500,26.7500,-0.0200,-0.0300,0.0500,0.8600,-0.7200,9.7400,1,1
753,208,16914317,8.938,0.000,57.717,57.750,-0.944,-0.862,-1.406,100069.57,36.30,-69.634,-76.611,-19.2082,1.4300,-1.2900,9.7200,0.2500,-0.2500,-0.0625,21.5625,6.8750,26.7500,-0.3100,0.3900,0.9200,0.8500,-0.7300,9.7400,1,1
768,212,17036294,9.000,0.000,57.709,57.688,-0.524,-0.552,3.418,100065.91,36.30,-70.419,-77.249,-19.3869,0.8500,-0.7600,9.8200,0.1875,-0.3125,0.0000,22.6875,7.2500,26.7500,0.0000,-0.0300,0.0800,0.8500,-0.7200,9.7400,1,1
782,216,17154518,9.000,0.000,57.692,57.688,-0.670,-0.424,-1.460,100064.38,36.29,-71.261,-77.868,-19.3370,0.8000,-0.7000,9.7600,0.0625,-0.2500,0.0000,24.1875,7.6875,26.3750,0.0000,-0.0100,0.0800,0.8500,-0.7200,9.7400,1,1
796,220,17274386,9.000,0.000,57.689,57.688,-0.719,-0.357,-0.096,100063.58,36.29,-72.075,-78.474,-19.3666,0.8400,-0.7000,9.7900,0.5000,0.1875,-0.0625,23.5000,7.2500,26.7500,-0.0100,0.0200,0.0500,0.8500,-0.7200,9.7400,1,1
811,224,17394848,8.938,0.000,57.723,57.750,-0.547,0.023,1.342,100059.07,36.30,-72.822,-79.056,-19.5250,0.7900,-0.6500,9.9400,0.3750,0.3125,-0.1250,23.0625,7.6875,26.0000,0.0100,-0.0500,-0.0700,0.8500,-0.7300,9.7400,1,1
825,228,17514680,8.938,0.000,57.744,57.750,-0.544,-0.909,1.002,100070.13,36.30,-73.528,-79.611,-19.3233,0.8300,-0.7400,9.7500,0.1250,0.1250,-0.1250,22.0000,8.0000,27.5625,-0.0300,-0.0100,0.0400,0.8500,-0.7300,9.7400,1,1
840,232,17636291,8.875,0.000,57.749,57.750,-0.232,0.787,0.811,100050.02,36.30,-74.233,-80.159,-19.4542,0.8200,-0.7400,9.8800,-0.4375,-0.6875,-0.1250,22.2500,8.0000,27.1875,-0.0100,-0.0200,0.1400,0.8400,-0.7200,9.7400,1,1
853,235,17737291,8.938,0.062,57.912,58.250,-0.378,0.478,0.233,100053.69,36.29,-74.829,-80.603,-19.5302,1.3800,-0.6700,9.9500,2.5000,4.1250,-2.8125,22.0000,7.6875,27.1875,0.5200,0.0600,0.2100,0.8500,-0.7300,9.7400,1,1
866,239,17845037,13.250,0.062,59.021,60.312,-0.402,-1.817,1.776,100080.90,36.31,-75.371,-81.100,-19.6731,1.7400,0.1200,10.1100,-2.5000,-113.6250,-29.9375,23.5000,8.7500,25.5625,0.2800,-0.3400,-0.2800,1.5700,-0.7300,9.6500,1,1
878,242,17945305,14.312,2.438,60.931,62.750,-0.622,-1.833,-2.768,100081.09,36.29,-75.981,-81.397,-20.1209,0.4900,-1.3100,11.0100,-34.6250,90.4375,-35.3125,23.0625,6.8750,19.7500,-1.2700,-0.8100,1.3700,1.7500,-1.1300,9.5800,1,1
892,246,18065135,27.062,1.688,62.429,63.000,-0.443,0.003,0.581,100059.31,36.30,-76.629,-81.806,-17.0900,2.5000,-1.8300,9.2000,85.0625,10.5625,-46.5625,23.0625,6.8750,18.5625,-2.1100,-1.0100,0.4500,3.7400,-0.7600,9.0300,1,1
907,250,18187291,31.250,-10.625,64.183,65.688,-0.654,-0.521,-1.314,100065.52,36.30,-77.276,-82.149,-18.4297,3.7200,0.9000,8.9000,70.1250,-11.1875,-48.5000,25.2500,6.5000,13.6875,-0.7600,-0.0600,0.2400,4.4900,0.9700,8.6600,1,1
921,254,18305285,42.188,-19.500,66.671,68.375,-0.535,-0.879,1.839,100069.78,36.30,-77.801,-82.444,-16.4834,4.1700,1.3200,6.3700,40.7500,-68.6250,-47.7500,29.0000,7.2500,8.6875,-2.9700,-0.9200,-1.0700,6.1100,2.1300,7.3600,1,1
935,258,18425508,53.375,-26.625,111.891,161.812,-0.399,-0.036,0.238,100059.77,36.30,-78.324,-82.625,-17.3921,6.4300,2.2300,5.8200,-0.1875,-94.6250,-7.8750,30.7500,6.8750,1.6875,-0.7500,-0.1600,-0.0600,7.5100,2.4300,5.8100,1,1
950,262,18545641,54.375,-25.062,150.890,160.625,-0.596,-0.604,-1.288,100066.51,36.29,-78.853,-82.879,-17.6518,7.6600,2.5000,5.2300,-3.6250,4.1250,7.3125,31.5625,7.6875,-1.5625,0.1000,0.0800,-0.5700,7.5500,2.2200,5.8400,1,1
963,265,18645667,50.625,-22.875,158.033,160.312,-0.065,0.491,3.446,100053.53,36.31,-79.137,-83.049,-17.2768,6.2700,1.9700,6.2100,14.1875,17.1875,-2.5000,32.2500,9.1875,1.3750,-0.6700,-0.1400,-0.3800,7.1300,2.1500,6.3700,1,1
976,269,18755514,51.688,-22.812,159.507,159.875,-0.262,-0.339,-1.077,100063.37,36.30,-79.536,-83.233,-17.9377,7.7700,2.3600,5.9700,1.6875,11.0000,2.6875,32.6875,9.1875,0.5000,0.4800,0.2200,-0.2000,7.2300,2.1000,6.2700,1,1
990,273,18875406,52.188,-21.938,160.197,160.938,-0.135,2.092,-1.676,100034.54,36.31,-79.985,-83.439,-17.4534,6.7000,1.6800,6.8800,-2.8125,-17.1250,-10.6875,32.2500,10.2500,0.5000,-0.6000,-0.2900,0.6600,7.3100,2.0000,6.2100,1,1
1005,277,18995865,54.688,-24.438,160.841,161.312,-0.331,-0.156,0.330,100061.20,36.31,-80.330,-83.588,-17.3842,7.5700,1.8900,5.7800,-2.6250,-32.7500,-9.6250,32.6875,9.5000,-0.2500,-0.4700,-0.5100,0.0300,7.5900,2.1400,5.8200,1,1
1020,281,19116180,54.625,-26.500,161.704,162.250,-0.108,0.332,1.524,100055.41,36.31,-80.634,-83.713,-17.5226,7.1500,2.0200,5.8900,14.8125,-47.7500,-6.6250,32.2500,9.1875,-0.2500,-0.3700,-0.1200,0.0300,7.5800,2.3500,5.7400,1,1
1032,284,19215725,55.062,-29.125,162.234,162.500,-0.221,-0.415,-0.177,100064.27,36.30,-80.903,-83.904,-18.3179,7.7000,3.1100,5.0700,16.5000,2.2500,-7.0625,32.2500,9.1875,0.0625,0.1500,0.6000,-0.4100,7.6400,2.6000,5.5700,1,1
1047,288,19337291,54.812,-29.625,163.138,163.750,-0.060,-0.030,0.388,100059.71,36.31,-81.191,-84.106,-17.8221,7.0500,2.0900,6.0800,2.1250,6.0625,-7.1250,34.1875,9.8750,-0.2500,-0.5400,-0.5500,0.4900,7.6000,2.6500,5.5900,1,1
1059,291,19435618,54.938,-31.000,163.585,163.625,-0.110,0.179,-0.063,100057.23,36.32,-81.446,-84.277,-18.1625,7.3500,2.7100,5.4200,17.3125,-12.5000,2.7500,33.0625,10.2500,0.0625,-0.2600,-0.0600,-0.0900,7.6300,2.7900,5.4800,1,1
1072,295,19546219,55.250,-32.188,163.546,163.688,-0.308,0.025,-1.689,100059.05,36.31,-81.761,-84.497,-18.4252,7.7800,2.8200,5.2100,-7.4375,14.0625,-2.8750,33.5000,9.5000,0.0625,0.0500,-0.1100,0.0400,7.6400,2.8700,5.4200,1,1
1086,299,19666133,55.125,-32.312,164.069,164.438,-0.158,-0.195,2.004,100061.66,36.31,-81.997,-84.709,-18.5321,7.2900,2.6500,6.1900,-8.7500,-4.2500,0.8750,33.7500,11.3750,0.8750,-0.4500,-0.3000,0.8400,7.6400,2.8900,5.4200,1,1
1101,303,19788296,57.312,-36.500,164.360,164.250,-0.089,0.903,-0.684,100048.64,36.31,-82.294,-84.923,-17.8477,7.1700,2.8800,4.2100,25.3125,-16.8125,1.4375,32.2500,11.3750,0.0625,-0.6900,-0.2400,-0.7400,7.8600,3.1200,4.9500,1,1
1115,307,19906293,57.125,-35.625,163.989,164.000,-0.133,-0.474,0.612,100064.98,36.33,-82.518,-85.168,-18.5569,7.8300,2.8600,5.0700,-9.3750,14.7500,-9.7500,32.0000,11.6875,-1.5625,-0.2700,-0.1000,0.0200,7.8300,3.0600,5.0400,1,1
1129,311,20026503,57.625,-37.125,164.423,164.688,-0.181,0.153,-1.595,100057.54,36.32,-82.816,-85.392,-18.6858,7.8700,3.0000,4.9400,7.8125,-29.8125,-7.6250,33.0625,12.5000,0.0625,0.0000,-0.2700,0.1100,7.9200,3.1700,4.8100,1,1
1144,315,20144291,59.938,-42.312,165.636,166.312,-0.213,0.183,-0.376,100057.18,36.32,-83.085,-85.628,-18.5999,7.9000,2.9700,4.2500,3.8750,-8.3125,-3.3125,32.2500,12.0625,-3.1875,-0.2200,-0.4000,-0.0500,8.1200,3.3800,4.3100,1,1
1162,319,20267292,60.500,-43.875,166.701,167.125,-0.393,-0.875,-0.903,100069.73,36.32,-83.380,-85.891,-18.7897,7.8100,3.2800,4.2600,1.6250,7.0625,-1.6875,32.1875,11.2500,-1.7500,-0.3600,-0.1700,0.0900,8.1700,3.4500,4.1600,1,1
1177,323,20388291,60.812,-47.562,167.697,168.812,-0.342,0.456,-0.675,100053.94,36.34,-83.691,-86.175,-19.0279,7.8900,3.5900,3.9000,4.1250,-22.5625,-18.0000,32.1875,12.7500,-1.7500,-0.3100,-0.0900,0.0000,8.2000,3.6800,3.9000,1,1
1191,327,20506497,60.500,-51.688,169.530,170.500,-0.324,-0.581,0.640,100066.24,36.32,-83.920,-86.429,-19.0263,7.8800,3.7100,3.3900,8.4375,-18.7500,-9.9375,32.1875,15.3750,-3.5000,0.0000,-0.0900,-0.1200,8.1800,4.0000,3.6200,1,1
1205,331,20626691,59.625,-51.688,170.594,171.188,-0.338,-0.919,-0.525,100070.25,36.33,-84.184,-86.710,-19.5502,8.2400,3.8900,3.8200,-17.1875,9.2500,-4.6250,31.5000,15.0625,-2.1875,0.1900,-0.3500,0.4900,8.0800,4.0700,3.7600,1,1
1220,335,20746770,57.812,-54.062,172.057,172.938,-0.232,-0.472,0.813,100064.95,36.34,-84.445,-86.996,-19.5069,7.6300,4.8700,3.5300,14.3750,2.2500,-14.9375,33.6875,16.5000,-2.5625,-0.3400,0.1500,-0.2700,7.9100,4.4200,3.7300,1,1
1234,339,20866681,56.250,-51.188,171.919,171.562,-0.154,0.276,0.028,100056.08,36.33,-84.707,-87.249,-19.1839,7.3600,4.4100,3.8600,-12.5000,22.6875,7.6875,33.6875,16.1875,-1.7500,-0.3600,-0.0800,-0.0100,7.7400,4.3700,4.1300,1,1
1249,343,20987470,56.062,-50.000,171.312,170.875,-0.091,-0.713,1.573,100067.81,36.32,-84.912,-87.501,-19.5500,7.7000,4.3700,4.2200,12.0000,10.4375,2.8750,33.6875,16.5625,0.2500,-0.0300,0.0400,0.0200,7.7300,4.3200,4.2000,1,1
1264,347,21107014,54.812,-46.438,169.764,168.500,-0.150,-1.479,-0.133,100076.90,36.33,-85.154,-87.746,-18.8078,7.2600,3.9900,3.7600,-12.1875,59.5000,23.0000,33.2500,16.1875,1.5000,-0.1600,-0.2400,-0.7100,7.5700,4.1100,4.6700,1,1
1276,350,21206749,52.688,-36.625,167.697,166.500,-0.063,1.406,-2.189,100042.68,36.32,-85.422,-87.925,-18.7380,6.7400,2.9600,6.2100,-36.1875,15.1875,15.8750,33.6875,14.6875,5.1875,-0.2000,-0.3900,0.8600,7.3700,3.4300,5.4700,1,1
1289,354,21316751,53.875,-38.125,166.932,166.562,-0.184,0.229,-0.642,100056.64,36.34,-85.657,-88.123,-18.8878,7.4500,3.3600,5.0600,19.6250,-13.3125,-0.3125,35.5625,16.5625,7.6875,-0.0400,-0.1600,-0.1800,7.5000,3.5400,5.2200,1,1
1304,358,21439291,52.375,-37.938,166.371,166.250,-0.240,-0.388,-0.841,100063.96,36.33,-85.909,-88.321,-18.9051,7.2000,3.3400,5.3700,-7.8125,25.8125,-5.0000,35.5625,15.0625,7.2500,-0.1200,-0.2700,-0.0300,7.3300,3.6100,5.4100,1,1
1318,362,21557129,49.688,-37.625,166.273,166.000,-0.048,0.957,-0.052,100048.00,36.33,-86.148,-88.534,-18.7382,6.5300,3.5300,5.4900,35.1250,36.3750,-11.6875,35.5625,16.5625,8.8750,-0.2900,-0.0500,-0.4800,6.9800,3.8100,5.7300,1,1
1332,366,21677309,45.250,-36.188,100.607,74.375,-0.269,-1.191,0.057,100073.48,36.34,-86.354,-88.709,-18.8867,6.3200,3.7700,5.6100,-14.4375,43.6250,2.9375,34.7500,15.7500,10.1875,-0.1400,-0.0400,-0.3700,6.4200,3.8700,6.3100,1,1
1346,370,21797486,43.188,-33.625,80.449,74.562,-0.371,-0.767,-0.398,100068.45,36.33,-86.627,-88.928,-18.9837,5.3800,3.6100,6.8200,5.3750,-22.1875,1.0625,34.7500,16.1875,15.0625,-0.5200,-0.1300,0.2200,6.2000,3.7200,6.6100,1,1
1360,374,21917320,44.250,-35.188,75.742,74.125,-0.352,-0.385,-0.759,100063.91,36.33,-86.880,-89.119,-18.9382,6.4600,3.8900,5.4500,-1.8750,4.5625,3.0625,35.1875,15.0625,15.0625,0.1600,0.0000,-0.9200,6.3300,3.8300,6.4200,1,1
1375,378,22039295,41.188,-31.750,74.281,73.375,0.077,0.862,3.522,100049.13,36.34,-87.042,-89.304,-19.2571,6.1400,3.6100,6.5600,-2.2500,48.7500,10.2500,34.5000,16.1875,17.0625,0.2100,0.0000,-0.3600,5.9200,3.6100,6.9200,1,1
1389,382,22157498,38.250,-28.250,72.782,71.812,-0.217,0.102,-2.077,100058.14,36.34,-87.292,-89.499,-18.9754,5.4100,3.0600,7.1400,0.0000,38.6875,13.3750,34.7500,16.5000,20.0000,-0.4300,0.0600,-0.2100,5.4900,3.2800,7.4200,1,1
1403,386,22277503,43.812,-30.125,72.445,73.250,-0.043,0.139,1.843,100057.70,36.34,-87.458,-89.680,-19.0435,6.3500,2.8800,6.9300,10.6250,-80.3125,-15.5000,35.8750,16.1875,22.0625,0.0700,-0.4000,0.1600,6.3700,3.3100,6.6700,1,1
1418,390,22397834,50.562,-37.188,130.352,166.375,0.116,0.758,0.656,100050.36,36.33,-87.636,-89.807,-18.3636,6.5000,3.5000,4.8900,17.3750,10.8125,-2.5000,35.5625,13.8750,8.5000,-0.0100,-0.1300,-0.7600,7.1200,3.6600,5.6500,1,1
1433,394,22517765,48.000,-35.188,116.346,75.312,0.001,0.987,-2.096,100047.65,36.33,-87.864,-89.968,-18.9384,6.2100,3.8400,5.8900,4.8750,29.1875,7.8125,35.1875,14.2500,9.3750,-0.7600,0.1400,0.2600,6.8100,3.6200,6.0400,1,1
1448,398,22639298,50.375,-37.625,130.245,164.250,0.131,0.446,2.091,100054.06,36.34,-87.995,-90.116,-18.9005,7.0500,3.9600,4.7000,22.6875,-13.7500,2.3750,32.0625,9.6875,7.3750,-0.0500,0.2400,-0.9300,7.1000,3.7200,5.6400,1,1
1459,401,22738471,49.875,-36.562,153.532,164.125,0.118,1.351,-1.154,100043.33,36.33,-88.165,-90.228,-19.0992,6.7500,3.4000,6.1500,-16.8750,20.5000,2.8125,32.5000,9.6875,5.7500,-0.2800,-0.2400,0.3900,7.0400,3.6500,5.7600,1,1
1473,405,22857952,51.375,-37.125,161.915,164.500,0.014,-0.637,0.893,100066.91,36.33,-88.289,-90.361,-18.9423,7.0300,3.5000,5.4500,3.1875,-31.1875,-1.5000,32.0625,9.6875,7.0000,-0.3500,-0.2100,-0.2100,7.2500,3.6100,5.5200,1,1
1485,408,22957951,55.000,-40.875,164.895,166.938,0.236,1.372,-0.151,100043.08,36.32,-88.423,-90.480,-19.3874,7.7100,3.5900,5.3300,-7.6250,-38.9375,-11.1875,32.8750,9.6875,3.2500,-0.6900,-0.2900,0.1100,7.6400,3.6900,4.9000,1,1
1498,412,23068129,58.625,-47.312,167.716,169.688,0.247,0.910,0.890,100048.55,36.33,-88.544,-90.600,-19.6293,8.2900,3.7100,4.4800,-0.7500,-46.0000,-10.3125,32.8750,9.6875,-1.1875,0.1400,-0.2800,0.0100,8.0100,3.8900,4.0900,1,1
1513,416,23190295,57.812,-50.000,169.408,169.312,0.052,1.153,-2.540,100045.67,36.33,-88.766,-90.778,-19.0318,7.6500,3.9700,3.5200,27.0625,43.8125,-4.5625,31.3750,9.6875,-5.0000,-0.2600,-0.1700,-0.5100,7.9100,4.1400,4.0300,1,1
1527,420,23308133,55.312,-46.312,168.180,166.625,0.147,-0.081,1.252,100060.31,36.35,-88.865,-90.924,-18.8266,7.1800,3.6600,4.4500,23.3750,77.0625,17.8125,31.0000,9.6875,-2.8750,-0.4800,-0.2100,-0.3200,7.6100,4.1000,4.6100,1,1
1541,424,23428531,53.375,-42.062,165.302,163.500,-0.058,-0.619,-0.927,100066.69,36.34,-89.052,-91.059,-18.7874,6.9000,3.6200,4.9700,1.0625,38.0000,22.0000,30.5625,7.5000,-0.3750,-0.5200,-0.2100,-0.1300,7.4300,3.8900,5.0700,1,1
1556,428,23548651,54.000,-41.562,163.279,162.812,0.119,1.565,-0.569,100040.79,36.35,-89.252,-91.188,-18.9385,6.8700,3.8800,5.0600,2.6875,-20.1875,3.0625,32.5000,6.6875,2.8750,-0.7400,0.0100,0.0700,7.5100,3.8100,5.0000,1,1
