=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 13:29:59 =~=~=~=~=~=~=~=~=~=~=~=
3068,833,35797291,9.438,8.500,80.145,82.250,0.381,0.286,0.703,100055.95,36.40,-93.394,-91.905,-19.2128,0.5500,-2.5600,10.1500,-16.5625,27.6875,-3.1250,19.3750,-12.5625,4.2500,-0.3800,-0.4000,0.6300,0.9300,-2.1600,9.5100,1,1
3081,837,35906029,6.000,8.188,81.327,81.000,0.128,-0.641,-1.556,100066.95,36.40,-93.175,-91.921,-19.1790,0.0900,-2.5300,9.8000,-7.0625,-59.4375,20.3125,16.5000,-12.1875,6.7500,-0.1100,-0.3000,0.0300,0.3400,-2.1100,9.5600,1,1
3095,841,36025784,13.188,8.188,80.086,79.750,0.032,-1.134,0.429,100072.80,36.41,-92.936,-91.859,-18.3672,1.3800,-2.1900,9.6000,-4.8750,-37.4375,-17.0625,19.3750,-13.6875,3.0625,-0.4200,-0.3100,0.2700,1.6200,-2.0900,9.4400,1,1
3110,845,36148291,16.000,7.625,80.331,80.438,0.308,0.278,1.695,100056.05,36.42,-92.691,-91.788,-18.1206,1.9400,-2.2100,9.6300,-2.9375,-21.5000,-4.9375,20.8750,-13.0000,0.1875,-0.0900,-0.2300,0.2500,2.0400,-1.9800,9.3800,1,1
4875,1323,50574426,8.188,-0.625,49.831,49.875,0.641,1.108,0.216,100046.21,36.50,-93.600,-95.323,-19.8320,1.4900,-0.0500,10.1200,3.8750,-6.2500,-1.3750,-19.0625,11.5000,105.1875,0.9300,0.5100,-0.0600,0.7200,-0.6200,9.7500,1,1
4889,1327,50692486,8.062,-0.562,49.818,49.812,0.995,1.915,2.046,100036.64,36.50,-93.584,-95.352,-19.2917,0.6700,-0.6100,9.6600,-0.0625,0.0000,-0.0625,-18.6875,12.5625,105.1875,-0.0200,0.0200,-0.0900,0.7000,-0.6300,9.7600,1,1
4904,1331,50814832,8.062,-0.562,49.814,49.812,0.807,1.636,-1.567,100039.95,36.51,-93.653,-95.404,-19.4007,0.6800,-0.6100,9.7700,0.0000,0.1875,0.0000,-18.2500,11.5000,103.1875,0.0000,0.0500,0.0500,0.7000,-0.6300,9.7600,1,1
4917,1334,50914848,8.062,-0.562,49.813,49.812,0.666,0.018,-0.503,100059.14,36.50,-93.681,-95.440,-19.4008,0.6900,-0.6100,9.7700,-0.1250,-0.1875,-0.0625,-18.6875,11.8750,104.3750,-0.0100,0.0200,0.0100,0.7000,-0.6300,9.7600,1,1
4930,1338,51024675,8.062,-0.562,49.813,49.812,0.469,-0.063,-0.955,100060.10,36.51,-93.767,-95.490,-19.4106,0.6800,-0.6100,9.7800,0.0000,0.0000,0.0000,-17.5625,11.8750,105.6875,0.0000,0.0300,0.0400,0.7000,-0.6300,9.7600,1,1
4944,1342,51144865,8.062,-0.562,49.813,49.812,0.235,-0.446,-1.896,100064.64,36.51,-93.881,-95.547,-19.4305,0.6900,-0.6100,9.8000,0.0625,-0.1875,0.0625,-17.8750,11.5000,105.5625,0.0300,0.0300,0.0300,0.7000,-0.6300,9.7600,1,1
